,document_n,topic
0,0,1
1,1,0
2,2,0
3,3,1
4,4,2
5,5,2
6,6,1
7,7,1
8,8,1
9,9,1
10,10,2
11,11,2
12,12,1
13,13,1
14,14,0
15,15,1
16,16,2
17,17,0
18,18,1
19,19,1
20,20,1
21,21,1
22,22,0
23,23,2
24,24,0
25,25,1
26,26,1
27,27,1
28,28,1
29,29,2
30,30,2
31,31,2
32,32,2
33,33,0
34,34,0
35,35,1
36,36,2
37,37,0
38,38,0
39,39,0
40,40,1
41,41,1
42,42,2
43,43,1
44,44,1
45,45,2
46,46,0
47,47,1
48,48,2
49,49,1
50,50,0
51,51,0
52,52,1
53,53,1
54,54,2
55,55,1
56,56,1
57,57,2
58,58,1
59,59,1
60,60,1
61,61,0
62,62,1
63,63,0
64,64,1
65,65,0
66,66,0
67,67,2
68,68,2
69,69,1
70,70,1
71,71,1
72,72,0
73,73,1
74,74,0
75,75,2
76,76,2
77,77,2
78,78,2
79,79,1
80,80,1
81,81,2
82,82,1
83,83,1
84,84,0
85,85,1
86,86,1
87,87,1
88,88,1
89,89,2
90,90,2
91,91,2
92,92,1
93,93,1
94,94,1
95,95,1
96,96,1
97,97,1
98,98,0
99,99,1
100,100,2
101,101,2
102,102,0
103,103,1
104,104,2
105,105,1
106,106,1
107,107,1
108,108,1
109,109,0
110,110,2
111,111,2
112,112,2
113,113,1
114,114,0
115,115,1
116,116,2
117,117,0
118,118,1
119,119,2
120,120,0
121,121,1
122,122,2
123,123,2
124,124,1
125,125,1
126,126,1
127,127,1
128,128,1
129,129,1
130,130,1
131,131,0
132,132,1
133,133,2
134,134,0
135,135,1
136,136,1
137,137,1
138,138,1
139,139,2
140,140,1
141,141,0
142,142,2
143,143,2
144,144,1
145,145,2
146,146,2
147,147,0
148,148,2
149,149,0
150,150,2
151,151,1
152,152,2
153,153,1
154,154,1
155,155,0
156,156,2
157,157,1
158,158,0
159,159,2
160,160,2
161,161,1
162,162,1
163,163,1
164,164,2
165,165,2
166,166,1
167,167,0
168,168,0
169,169,1
170,170,1
171,171,0
172,172,2
173,173,1
174,174,2
175,175,1
176,176,1
177,177,1
178,178,0
179,179,1
180,180,2
181,181,1
182,182,2
183,183,1
184,184,2
185,185,1
186,186,1
187,187,2
188,188,1
189,189,0
190,190,1
191,191,2
192,192,1
193,193,1
194,194,1
195,195,0
196,196,1
197,197,2
198,198,2
199,199,1
200,200,1
201,201,0
202,202,1
203,203,1
204,204,0
205,205,1
206,206,2
207,207,1
208,208,1
209,209,1
210,210,1
211,211,2
212,212,1
213,213,2
214,214,1
215,215,0
216,216,0
217,217,0
218,218,0
219,219,0
220,220,2
221,221,1
222,222,2
223,223,0
224,224,1
225,225,2
226,226,1
227,227,0
228,228,1
229,229,2
230,230,2
231,231,2
232,232,2
233,233,0
234,234,2
235,235,1
236,236,1
237,237,1
238,238,0
239,239,1
240,240,0
241,241,1
242,242,0
243,243,1
244,244,0
245,245,1
246,246,0
247,247,1
248,248,0
249,249,0
250,250,0
251,251,1
252,252,0
253,253,2
254,254,2
255,255,2
256,256,2
257,257,2
258,258,1
259,259,1
260,260,1
261,261,1
262,262,1
263,263,1
264,264,1
265,265,1
266,266,0
267,267,1
268,268,1
269,269,1
270,270,2
271,271,1
272,272,0
273,273,1
274,274,1
275,275,0
276,276,2
277,277,2
278,278,0
279,279,1
280,280,2
281,281,1
282,282,0
283,283,1
284,284,1
285,285,2
286,286,1
287,287,2
288,288,2
289,289,2
290,290,1
291,291,1
292,292,0
293,293,0
294,294,2
295,295,1
296,296,1
297,297,0
298,298,1
299,299,1
300,300,2
301,301,2
302,302,0
303,303,2
304,304,2
305,305,1
306,306,1
307,307,1
308,308,1
309,309,1
310,310,1
311,311,1
312,312,1
313,313,1
314,314,1
315,315,1
316,316,1
317,317,0
318,318,2
319,319,1
320,320,2
321,321,2
322,322,1
323,323,0
324,324,2
325,325,1
326,326,1
327,327,1
328,328,1
329,329,0
330,330,1
331,331,2
332,332,1
333,333,2
334,334,2
335,335,1
336,336,0
337,337,2
338,338,2
339,339,1
340,340,2
341,341,1
342,342,2
343,343,1
344,344,1
345,345,1
346,346,1
347,347,1
348,348,1
349,349,1
350,350,2
351,351,1
352,352,1
353,353,1
354,354,1
355,355,1
356,356,0
357,357,2
358,358,1
359,359,2
360,360,1
361,361,1
362,362,2
363,363,1
364,364,1
365,365,2
366,366,2
367,367,2
368,368,1
369,369,1
370,370,1
371,371,0
372,372,1
373,373,1
374,374,2
375,375,1
376,376,2
377,377,0
378,378,0
379,379,1
380,380,2
381,381,2
382,382,1
383,383,1
384,384,2
385,385,1
386,386,2
387,387,2
388,388,2
389,389,2
390,390,0
391,391,0
392,392,0
393,393,0
394,394,2
395,395,1
396,396,2
397,397,2
398,398,1
399,399,1
400,400,2
401,401,0
