,document_n,topic
0,0,2
1,1,1
2,2,1
3,3,2
4,4,1
5,5,0
6,6,0
7,7,1
8,8,1
9,9,1
10,10,2
11,11,0
12,12,2
13,13,1
14,14,0
15,15,2
16,16,1
17,17,1
18,18,1
19,19,1
20,20,2
21,21,1
22,22,1
23,23,1
24,24,2
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,2
31,31,2
32,32,2
33,33,0
34,34,2
35,35,1
36,36,2
37,37,2
38,38,1
39,39,1
40,40,0
41,41,1
42,42,2
43,43,2
44,44,1
45,45,1
46,46,2
47,47,2
48,48,2
49,49,1
50,50,1
51,51,1
52,52,1
53,53,2
54,54,1
55,55,2
56,56,0
57,57,1
58,58,2
59,59,2
60,60,2
61,61,0
62,62,1
63,63,2
64,64,0
65,65,2
66,66,1
67,67,2
68,68,1
69,69,2
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
77,77,1
78,78,1
79,79,2
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,2
86,86,1
87,87,2
88,88,1
89,89,0
90,90,1
91,91,1
92,92,1
93,93,1
94,94,2
95,95,2
96,96,1
97,97,2
98,98,2
99,99,1
100,100,1
101,101,1
102,102,1
103,103,1
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,1
111,111,1
112,112,1
113,113,1
114,114,1
115,115,1
116,116,1
117,117,1
118,118,1
119,119,0
120,120,1
121,121,2
122,122,1
123,123,1
124,124,1
125,125,0
126,126,0
127,127,2
128,128,0
129,129,0
130,130,2
131,131,1
132,132,0
133,133,1
134,134,1
135,135,1
136,136,0
137,137,2
138,138,2
139,139,1
140,140,0
141,141,2
142,142,2
143,143,1
144,144,1
145,145,0
146,146,2
147,147,1
148,148,1
149,149,1
150,150,1
151,151,1
152,152,1
153,153,1
154,154,2
155,155,0
156,156,1
157,157,1
158,158,1
159,159,1
160,160,1
161,161,1
162,162,1
163,163,1
164,164,2
165,165,2
166,166,1
167,167,1
168,168,1
169,169,1
170,170,2
171,171,2
172,172,0
173,173,1
174,174,2
175,175,1
176,176,0
177,177,0
178,178,0
179,179,1
180,180,2
181,181,2
182,182,2
183,183,1
184,184,1
185,185,2
186,186,1
187,187,1
188,188,1
189,189,2
190,190,2
191,191,1
192,192,1
193,193,1
194,194,1
195,195,0
196,196,0
197,197,1
198,198,0
199,199,1
200,200,2
201,201,2
202,202,0
203,203,0
204,204,1
205,205,1
206,206,1
207,207,1
208,208,1
209,209,0
210,210,2
211,211,1
212,212,2
213,213,0
214,214,1
215,215,2
216,216,1
217,217,2
218,218,1
219,219,2
220,220,1
221,221,0
222,222,1
223,223,1
224,224,1
225,225,0
226,226,1
227,227,1
228,228,1
229,229,0
230,230,2
231,231,1
232,232,1
233,233,1
234,234,1
235,235,1
236,236,2
237,237,2
238,238,2
239,239,0
240,240,1
241,241,1
242,242,2
243,243,1
244,244,2
245,245,0
246,246,1
247,247,2
248,248,2
249,249,2
250,250,0
251,251,1
252,252,1
253,253,2
254,254,1
255,255,1
256,256,1
257,257,1
258,258,1
259,259,1
260,260,2
261,261,2
262,262,2
263,263,1
264,264,2
265,265,1
266,266,1
267,267,1
268,268,0
269,269,1
270,270,0
271,271,1
272,272,1
273,273,2
274,274,1
275,275,2
276,276,2
277,277,1
278,278,2
279,279,2
280,280,1
281,281,1
282,282,1
283,283,1
284,284,0
285,285,2
286,286,0
287,287,0
288,288,2
289,289,2
290,290,1
291,291,1
292,292,2
293,293,2
294,294,2
295,295,0
296,296,2
297,297,1
298,298,0
299,299,2
300,300,2
301,301,2
302,302,0
303,303,2
304,304,0
305,305,2
306,306,0
307,307,1
308,308,2
309,309,2
310,310,2
311,311,2
312,312,2
313,313,2
314,314,2
315,315,1
316,316,1
317,317,0
318,318,1
319,319,2
320,320,1
321,321,2
322,322,1
323,323,1
324,324,0
325,325,0
326,326,0
327,327,1
328,328,0
329,329,0
330,330,1
331,331,2
332,332,1
333,333,2
334,334,0
335,335,2
336,336,0
337,337,0
338,338,2
339,339,1
340,340,1
341,341,0
342,342,1
343,343,1
344,344,1
345,345,2
346,346,1
347,347,1
348,348,0
349,349,0
350,350,0
351,351,2
352,352,1
353,353,2
354,354,1
355,355,1
356,356,0
357,357,2
358,358,0
359,359,1
360,360,2
361,361,2
362,362,1
363,363,1
364,364,0
365,365,0
366,366,1
367,367,1
368,368,1
369,369,1
370,370,0
371,371,2
372,372,1
373,373,0
374,374,1
375,375,1
376,376,2
377,377,2
378,378,2
379,379,1
380,380,1
381,381,0
382,382,1
383,383,2
384,384,2
385,385,0
386,386,1
387,387,0
388,388,1
389,389,2
390,390,2
391,391,2
392,392,0
393,393,1
394,394,2
395,395,1
396,396,2
397,397,0
398,398,2
399,399,1
400,400,0
401,401,0
402,402,0
403,403,0
404,404,0
405,405,2
406,406,0
407,407,1
408,408,2
409,409,0
410,410,1
411,411,1
412,412,2
413,413,2
414,414,1
415,415,0
416,416,0
417,417,2
418,418,0
419,419,2
420,420,2
421,421,1
422,422,0
423,423,0
424,424,0
425,425,2
426,426,0
427,427,0
428,428,1
429,429,2
430,430,2
431,431,2
432,432,0
433,433,2
434,434,0
435,435,2
436,436,0
437,437,1
438,438,0
439,439,1
440,440,1
441,441,0
442,442,2
443,443,1
444,444,1
445,445,2
446,446,0
447,447,1
448,448,1
449,449,0
450,450,1
451,451,2
452,452,1
453,453,0
454,454,0
455,455,2
456,456,1
457,457,2
458,458,1
459,459,0
460,460,1
461,461,1
462,462,0
463,463,2
464,464,0
465,465,1
466,466,2
467,467,1
468,468,1
469,469,2
470,470,0
471,471,0
472,472,2
473,473,0
474,474,1
475,475,1
476,476,2
477,477,1
478,478,2
479,479,0
480,480,0
481,481,0
482,482,1
483,483,2
484,484,2
485,485,1
486,486,0
487,487,1
488,488,1
489,489,1
490,490,1
491,491,1
492,492,1
493,493,0
494,494,2
495,495,0
496,496,2
497,497,1
498,498,2
499,499,0
500,500,2
501,501,1
502,502,0
503,503,1
504,504,2
505,505,0
506,506,1
507,507,0
508,508,2
509,509,1
510,510,1
511,511,1
512,512,2
513,513,0
514,514,0
515,515,1
516,516,1
517,517,1
518,518,2
519,519,1
520,520,0
521,521,1
522,522,2
523,523,2
524,524,2
525,525,2
526,526,2
527,527,1
528,528,0
529,529,2
530,530,2
531,531,2
532,532,0
533,533,0
534,534,0
535,535,1
536,536,1
537,537,1
538,538,1
539,539,2
540,540,2
541,541,2
542,542,2
543,543,0
544,544,2
545,545,2
546,546,2
547,547,2
548,548,1
549,549,2
550,550,2
551,551,2
552,552,0
553,553,1
554,554,2
555,555,2
556,556,2
557,557,0
558,558,0
559,559,1
560,560,1
561,561,2
562,562,2
563,563,1
564,564,0
565,565,0
566,566,1
567,567,1
568,568,0
569,569,2
570,570,0
571,571,1
572,572,1
573,573,1
574,574,1
575,575,2
576,576,0
577,577,2
578,578,0
579,579,0
580,580,2
581,581,1
582,582,0
583,583,1
584,584,1
585,585,2
586,586,0
587,587,0
588,588,1
589,589,2
590,590,1
591,591,0
592,592,0
593,593,1
594,594,0
595,595,1
596,596,0
597,597,2
598,598,1
599,599,0
600,600,0
601,601,1
602,602,0
603,603,0
604,604,2
605,605,1
606,606,1
607,607,2
608,608,1
609,609,2
610,610,0
611,611,0
612,612,2
613,613,0
614,614,0
615,615,2
616,616,2
617,617,0
618,618,2
619,619,2
620,620,2
621,621,0
622,622,1
623,623,0
624,624,0
625,625,1
626,626,1
627,627,1
628,628,0
629,629,2
630,630,1
631,631,1
632,632,2
633,633,2
634,634,1
635,635,0
636,636,1
637,637,2
638,638,1
639,639,1
640,640,1
641,641,1
642,642,2
643,643,1
644,644,0
645,645,0
646,646,0
647,647,0
648,648,0
649,649,2
650,650,1
651,651,0
652,652,0
653,653,0
654,654,0
655,655,0
656,656,1
657,657,1
658,658,2
659,659,0
660,660,2
661,661,0
662,662,0
663,663,2
664,664,0
665,665,1
666,666,1
667,667,0
668,668,1
669,669,2
670,670,1
671,671,1
672,672,0
673,673,1
674,674,0
675,675,1
676,676,1
677,677,1
678,678,0
679,679,1
680,680,2
681,681,2
682,682,1
683,683,1
684,684,1
685,685,0
686,686,0
687,687,1
688,688,1
689,689,0
690,690,0
691,691,0
692,692,1
693,693,0
694,694,2
695,695,0
696,696,1
697,697,0
698,698,2
699,699,1
700,700,0
701,701,2
702,702,1
703,703,1
704,704,1
705,705,1
706,706,1
707,707,1
708,708,1
709,709,1
710,710,1
711,711,2
712,712,1
713,713,1
714,714,2
715,715,2
716,716,0
717,717,1
718,718,1
719,719,1
720,720,1
721,721,1
722,722,1
723,723,1
724,724,1
725,725,1
726,726,1
727,727,1
728,728,1
729,729,1
730,730,1
731,731,1
732,732,0
733,733,1
734,734,0
735,735,1
736,736,1
737,737,1
738,738,2
739,739,1
740,740,1
741,741,0
742,742,1
743,743,1
744,744,1
745,745,1
746,746,1
747,747,0
748,748,1
749,749,0
750,750,2
751,751,2
752,752,2
753,753,1
754,754,1
755,755,1
756,756,1
757,757,1
758,758,0
759,759,1
760,760,1
761,761,1
762,762,0
763,763,0
764,764,1
765,765,1
766,766,1
767,767,2
768,768,1
769,769,1
770,770,2
771,771,0
772,772,1
773,773,1
774,774,0
775,775,2
776,776,0
777,777,1
778,778,1
779,779,1
780,780,2
781,781,0
782,782,1
783,783,1
784,784,1
785,785,1
786,786,2
787,787,1
788,788,2
789,789,1
790,790,1
791,791,1
792,792,0
793,793,1
794,794,1
795,795,1
796,796,1
797,797,1
798,798,1
799,799,1
800,800,1
801,801,1
802,802,1
803,803,1
804,804,0
805,805,1
806,806,1
807,807,1
808,808,1
809,809,1
810,810,1
811,811,2
812,812,1
813,813,1
814,814,0
815,815,1
816,816,1
817,817,1
818,818,1
819,819,1
820,820,1
821,821,1
822,822,1
823,823,1
824,824,1
825,825,1
826,826,1
827,827,1
828,828,1
829,829,1
830,830,1
831,831,1
832,832,1
833,833,1
834,834,1
835,835,1
836,836,1
837,837,1
838,838,1
839,839,1
840,840,1
841,841,1
842,842,1
843,843,1
844,844,1
845,845,1
846,846,1
847,847,1
848,848,1
849,849,1
850,850,1
851,851,1
852,852,0
853,853,1
854,854,1
855,855,1
856,856,1
857,857,1
858,858,1
859,859,1
860,860,1
861,861,1
862,862,1
863,863,1
864,864,1
865,865,1
866,866,1
867,867,1
868,868,1
869,869,1
870,870,1
871,871,1
872,872,1
873,873,1
874,874,1
875,875,1
876,876,0
877,877,1
